"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | BMW | Chevrolet | Ford | Honda | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD36FC445"
"ColumnCount:",18
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Toyota, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"04/1990",9296,14,20,1810,1650,408,422,9238,14,20,1808,1648,408,422,,,
"05/1990",10112,16,54,1942,1812,428,476,10040,16,54,1942,1812,428,472,,,
"06/1990",10726,14,34,2034,1840,530,544,10678,14,34,2034,1840,530,544,,,
"07/1990",11324,26,66,2302,2058,574,590,11234,26,66,2302,2056,574,588,,,
"08/1990",11130,20,34,2164,1964,544,532,11068,20,34,2164,1964,544,532,,,
"09/1990",10544,14,40,1928,1836,514,470,10472,14,40,1926,1836,514,470,,,
"10/1990",10176,24,34,1926,1892,390,610,10118,24,34,1924,1892,390,608,,,
"11/1990",9656,20,42,1858,1772,372,486,9602,20,42,1858,1772,372,484,,,
"12/1990",9576,14,48,1858,1764,330,576,9510,14,48,1858,1760,330,576,,,
"01/1991",7338,8,28,1386,1426,192,374,4308,8,28,804,650,152,228,72,,20
"02/1991",7294,8,38,1434,1378,188,422,4318,8,36,822,674,138,266,90,,28
"03/1991",8494,18,26,1706,1474,282,508,5128,18,24,956,732,180,326,138,2,48
"04/1991",8142,8,24,1686,1498,354,420,4716,8,24,1002,690,186,264,226,,98
"05/1991",9586,10,36,1826,1764,482,506,5446,10,32,998,894,224,354,428,2,156
"06/1991",10136,26,32,2008,1834,540,462,5562,26,30,1114,844,232,274,444,,180
"07/1991",10310,20,40,1964,1818,486,548,5552,20,34,1032,808,210,322,510,2,172
"08/1991",10732,14,30,2066,1912,498,554,5924,14,24,1146,870,238,356,514,4,162
"09/1991",9620,8,38,1924,1702,412,476,5410,8,30,1078,806,202,284,386,8,132
"10/1991",9762,4,40,1964,1784,358,492,5500,4,34,1144,852,232,310,284,2,88
"11/1991",9472,32,30,1814,1764,316,530,5630,32,30,1008,822,246,348,162,,52
"12/1991",8704,24,32,1684,1726,278,476,5268,24,28,938,886,224,276,106,2,34
"01/1992",7598,10,24,1526,1370,216,428,4496,10,24,844,670,176,268,116,,34
"02/1992",7178,14,38,1450,1314,238,368,4280,14,34,826,606,194,226,122,4,22
"03/1992",7432,12,12,1578,1282,286,384,4420,12,12,926,676,198,226,208,,64
"04/1992",7762,8,26,1536,1354,314,382,4388,8,22,800,664,180,232,312,4,102
"05/1992",9096,22,46,1790,1512,410,424,5158,22,36,1040,694,216,302,484,2,132
